REF_AREA,OBS_VALUE
OECD,86.39518435712232
FIN,42.694500000000005
DNK,42.6081
BEL,40.8933
SWE,37.6375
NLD,35.075433333333336
NOR,33.904466666666664
SVN,33.87286666666667
LUX,32.85866666666667
AUT,32.28980000000001
DEU,31.113566666666667
IRL,29.14876666666667
EU27,24.447300000000002
ESP,24.3569
EST,23.490133333333333
CZE,22.038300000000003
PRT,21.3006
FRA,18.58686666666667
HRV,18.453533333333333
LVA,18.075466666666667
ITA,18.032466666666664
SVK,17.87013333333333
LTU,17.610333333333333
GRC,16.1255
POL,15.7627
HUN,13.342733333333333
BGR,11.877666666666665
TUR,10.8316
ROU,5.904599999999999
