REF_AREA,ACTIVITY,SIZE_CLASS,CAGR_percent
AUS,_T,S10T49,0.6620367095960811
AUS,_T,S50T249,-35.76566552615383
AUS,_T,S_GE250,0.2215654998342531
AUT,_T,S10T49,-16.043791320823487
AUT,_T,S50T249,-12.266381323458454
AUT,_T,S_GE250,-7.268934754834744
BEL,_T,S10T49,-13.819309720665117
BEL,_T,S50T249,-9.808901700277206
BEL,_T,S_GE250,-3.9212235090842706
BGR,_T,S10T49,-20.617120292138157
BGR,_T,S50T249,-19.022520257679176
BGR,_T,S_GE250,-14.689422569282884
BRA,_T,S10T49,-0.028764574556250366
BRA,_T,S50T249,-14.254296310263026
BRA,_T,S_GE250,-0.6662255523908533
CAN,_T,S10T49,1.0374706850786897
CAN,_T,S50T249,0.9124211655693548
CAN,_T,S_GE250,-19.066279708282753
COL,_T,S10T49,0.5483694914460102
COL,_T,S50T249,0.9102865721211106
COL,_T,S_GE250,0.7566365956811705
CZE,_T,S10T49,-21.86784245494966
CZE,_T,S50T249,-16.951929856806235
CZE,_T,S_GE250,-8.906232098378386
DEU,_T,S10T49,-16.449822680062454
DEU,_T,S50T249,-12.511423777741815
DEU,_T,S_GE250,-7.426646306182915
DNK,_T,S10T49,-13.973072459704383
DNK,_T,S50T249,-8.959693132256607
DNK,_T,S_GE250,-4.701155954468128
ESP,_T,S10T49,-21.069411243437873
ESP,_T,S50T249,-14.971334099877275
ESP,_T,S_GE250,-8.200895290863908
EST,_T,S10T49,-18.552897661468226
EST,_T,S50T249,-15.796778126864563
EST,_T,S_GE250,-9.379137284281613
EU27,_T,S10T49,-18.632113366313362
EU27,_T,S50T249,-14.677316204328939
EU27,_T,S_GE250,-8.716583069689243
EU28,_T,S10T49,0.8969696867024535
EU28,_T,S50T249,0.07443002315807856
EU28,_T,S_GE250,0.01557571585879547
FIN,_T,S10T49,-15.81941953370265
FIN,_T,S50T249,-10.247773795428095
FIN,_T,S_GE250,-3.8243333634087384
FRA,_T,S10T49,-19.95970304815502
FRA,_T,S50T249,-18.067306792136563
FRA,_T,S_GE250,-11.050215220904914
GBR,_T,S10T49,-45.6549199425621
GBR,_T,S50T249,-0.603485844918672
GBR,_T,S_GE250,-34.77590842819404
GRC,_T,S10T49,-19.406591944075146
GRC,_T,S50T249,-17.155579815354606
GRC,_T,S_GE250,-13.820755106670035
HRV,_T,S10T49,-18.517397458025787
HRV,_T,S50T249,-16.79434910304245
HRV,_T,S_GE250,-12.638019716999061
HUN,_T,S10T49,-22.135746406502
HUN,_T,S50T249,-20.281309909967828
HUN,_T,S_GE250,-13.205332626977839
IRL,_T,S10T49,-18.2513118564398
IRL,_T,S50T249,-13.129178705691801
IRL,_T,S_GE250,-6.633029720017081
ISL,_T,S10T49,2.8083305178205897
ISL,_T,S50T249,-4.302770629638053
ISL,_T,S_GE250,0.0648681572469112
ISR,_T,S10T49,
ISR,_T,S50T249,
ISR,_T,S_GE250,
ITA,_T,S10T49,-22.578101766584325
ITA,_T,S50T249,-17.463992498925187
ITA,_T,S_GE250,-10.875567454908053
JPN,_T,S10T49,-10.753606778023572
JPN,_T,S50T249,2.125129719621377
JPN,_T,S_GE250,70.54212566633824
KOR,_T,S10T49,2.56549822388743
KOR,_T,S50T249,-6.473454428174053
KOR,_T,S_GE250,-3.9030015813783514
LTU,_T,S10T49,-23.61891164626161
LTU,_T,S50T249,-18.206298205970985
LTU,_T,S_GE250,-11.95708911726474
LUX,_T,S10T49,-13.18918253657012
LUX,_T,S50T249,-11.016818828289788
LUX,_T,S_GE250,-7.979094933020869
LVA,_T,S10T49,-19.895684450785755
LVA,_T,S50T249,-18.264345853125263
LVA,_T,S_GE250,-10.939445541603698
NLD,_T,S10T49,-15.22536890674029
NLD,_T,S50T249,-11.659798368896757
NLD,_T,S_GE250,-6.20142653983925
NOR,_T,S10T49,-14.872300790057192
NOR,_T,S50T249,-11.740045435039438
NOR,_T,S_GE250,-6.011674632295383
NZL,_T,S10T49,0.4981437780538389
NZL,_T,S50T249,-26.113068559258444
NZL,_T,S_GE250,-18.821401863867827
OECD,_T,S10T49,0.4953697339876051
OECD,_T,S50T249,0.059800428329426225
OECD,_T,S_GE250,0.1047777757549051
POL,_T,S10T49,-26.298652597909854
POL,_T,S50T249,-20.702387510207732
POL,_T,S_GE250,-10.699648273257957
PRT,_T,S10T49,-21.125096017078004
PRT,_T,S50T249,-17.466045504293128
PRT,_T,S_GE250,-8.869985220450694
ROU,_T,S10T49,-26.64329850507292
ROU,_T,S50T249,-25.693664193901878
ROU,_T,S_GE250,-18.887302386757653
SVK,_T,S10T49,-21.526197918257218
SVK,_T,S50T249,-17.005311179803627
SVK,_T,S_GE250,-11.259254706068145
SVN,_T,S10T49,-14.604014647902064
SVN,_T,S50T249,-14.57678328094456
SVN,_T,S_GE250,-5.570516904169609
SWE,_T,S10T49,-14.370740914710044
SWE,_T,S50T249,-10.828876885117744
SWE,_T,S_GE250,-5.989024110348041
TUR,_T,S10T49,-27.39178591240442
TUR,_T,S50T249,-24.005298740656233
TUR,_T,S_GE250,-14.453671607725461
USA,_T,S10T49,-3.8603652171923075
USA,_T,S50T249,-2.6864859013987608
USA,_T,S_GE250,9.424414484999467
