REF_AREA,TIME_PERIOD,OBS_VALUE
OECD,2024,86.39518435712232
FIN,2024,42.694500000000005
DNK,2024,42.6081
BEL,2024,40.8933
SWE,2024,37.6375
NLD,2024,35.075433333333336
NOR,2024,33.904466666666664
SVN,2024,33.87286666666667
LUX,2024,32.85866666666667
AUT,2024,32.28980000000001
DEU,2024,31.113566666666667
IRL,2024,29.14876666666667
EU27,2024,24.447300000000002
ESP,2024,24.3569
EST,2024,23.490133333333333
CZE,2024,22.038300000000003
PRT,2024,21.3006
FRA,2024,18.58686666666667
HRV,2024,18.453533333333333
LVA,2024,18.075466666666667
ITA,2024,18.032466666666664
SVK,2024,17.87013333333333
LTU,2024,17.610333333333333
GRC,2024,16.1255
POL,2024,15.7627
HUN,2024,13.342733333333333
BGR,2024,11.877666666666665
TUR,2024,10.8316
ROU,2024,5.904599999999999
